Games Played,Avg Reward
50,-9048.386403625342
100,-8404.448229771486
150,-9032.112441367719
200,-9526.983785618264
250,-8723.205946267342
300,-9400.395107559256
350,-8167.323897758768
400,-7065.417423551518
450,-7441.939988477263
500,-6980.566495951783
550,-7186.641756386765
600,-6648.820103793241
650,-7261.66472648188
700,-7013.9173263590665
750,-7407.122973524491
800,-7427.344914452063
850,-7121.232253025861
900,-6931.907903164209
950,-7158.653603528695
1000,-6318.547038426152
1050,-6902.534378581189
1100,-6654.597523591271
1150,-6164.7124996091625
1200,-7099.068270547627
1250,-6642.1784015811
1300,-7615.372939159105
1350,-6133.37178720543
1400,-6466.36560651839
1450,-5836.8838978543
1500,-6230.721923749877
1550,-5458.481718549126
1600,-6367.674879973712
1650,-5786.786959417181
1700,-5260.7787775087545
1750,-5519.654927448696
1800,-6330.565284927064
1850,-5299.765588960341
1900,-5550.286891970275
1950,-5263.948866265077
2000,-5782.876538214184
2050,-6522.076596929901
2100,-6375.457669414238
2150,-5555.766379100353
2200,-5179.249522609922
2250,-5109.394837703147
2300,-5362.513344607156
2350,-6115.471757487483
2400,-4943.354131393762
2450,-4926.686294620258
2500,-5275.616638563944
2550,-5036.768299227749
2600,-4741.0216629014985
2650,-4992.77297808506
2700,-6314.72941334959
2750,-5574.14841887638
2800,-5588.496539386062
2850,-5535.792637180683
2900,-5012.135066126728
2950,-5007.0930810557
3000,-5844.626691666506
3050,-5542.386699893109
3100,-5732.311425768125
3150,-4832.108635429095
3200,-4519.8365053053585
3250,-5577.571449902125
3300,-6261.707222703865
3350,-5952.52597390317
3400,-5840.694391904861
3450,-5867.435922559444
3500,-5707.807703872876
3550,-5379.475625643975
3600,-6130.838942123167
3650,-5369.821185827953
3700,-5318.036949919111
3750,-5722.063965216747
3800,-5834.078734383757
3850,-5947.771593327461
3900,-5561.34057885065
3950,-5674.872738902336
4000,-6109.783968814917
4050,-6431.792094886934
4100,-5941.168199647347
4150,-5781.381692646924
4200,-5559.751781918981
4250,-5614.818128318381
4300,-6571.959470947139
4350,-5500.7322322945065
4400,-5049.566812689883
4450,-5862.261472417137
4500,-6596.924627250181
4550,-5617.834964836919
4600,-5283.032138997915
4650,-5326.121787335934
4700,-5680.443996664649
4750,-5799.0682959091155
4800,-5375.487567703469
4850,-5062.043501720663
4900,-5506.543462510322
4950,-5622.745740671459
5000,-5509.288842755528
5050,-5184.462765890046
5100,-5927.977311627606
5150,-5189.088013917746
5200,-5109.065189553923
5250,-4404.340011422588
5300,-4618.738792434527
5350,-4868.776770343695
5400,-4445.570789477541
5450,-4330.159868793394
5500,-4443.400236072778
5550,-4732.695189754359
5600,-4552.628557795052
5650,-4600.466410300596
