Games Played,Avg Reward
50,-9143.402296810744
100,-9853.900370742436
150,-10361.38138398957
200,-9968.956390339821
250,-9774.958162501103
300,-9033.60123628559
350,-8357.699303840334
400,-7773.056295770761
450,-7963.389544117005
500,-7633.773027846296
550,-6743.354565447686
600,-6539.7923250126005
650,-5748.253683492831
700,-5517.753727982152
750,-4678.4152113263735
800,-5216.041148922883
850,-5098.881277979637
900,-5188.177778891682
950,-4670.898938566963
1000,-4539.38545341301
1050,-4820.65644087569
1100,-4303.916398144494
1150,-4784.988627794236
1200,-4139.451471567076
1250,-3625.6618631328065
1300,-3828.116030655241
1350,-4134.706721355932
1400,-4460.906765021751
1450,-4324.904979207876
1500,-3355.0129287618997
1550,-3699.967247652949
1600,-3365.540110173512
1650,-3188.4786631811903
1700,-3047.782305794042
1750,-3001.202413374024
1800,-3254.1391643621378
1850,-3152.2461785392206
1900,-2807.399528181624
1950,-3079.646086047664
2000,-3060.0269431072857
2050,-2702.9600036584234
2100,-2742.4647863682458
2150,-2821.7159926424283
2200,-2933.442797419406
2250,-2932.398254144251
2300,-2919.1103396576777
2350,-2869.843966216082
2400,-3007.487423380172
2450,-3044.7339611704465
2500,-3055.2133192150054
2550,-2585.3270653544087
2600,-2844.648265062447
2650,-2965.163594551038
2700,-2991.0406665237974
2750,-3124.3684683064253
2800,-2999.14180839011
2850,-2812.256783052621
2900,-2867.3932070799983
2950,-2985.1914664158585
3000,-2883.904666877788
3050,-3159.8391295453976
3100,-3022.2465390617317
3150,-2545.090408095718
3200,-2889.691021833193
3250,-2736.5113695690616
3300,-2612.720259880783
3350,-2786.3365613319615
3400,-2728.02294997587
3450,-2808.582862391958
3500,-2796.98406903223
3550,-2652.081074613664
3600,-2518.665786556445
3650,-2655.3778816295044
3700,-3005.0784203553926
3750,-2812.7612555810706
3800,-2674.1103702508876
3850,-2642.3838986788983
3900,-2578.6597490464665
3950,-2594.526892386096
4000,-2997.8254835800626
4050,-2488.24650908732
4100,-2851.4909440779425
4150,-2795.763020986564
4200,-2721.5504962747877
4250,-2449.732136805728
4300,-2720.6487924451685
4350,-2716.0847289367753
4400,-2669.520482649601
4450,-2927.7265717967844
4500,-2799.345012583544
4550,-2732.556733816035
4600,-2875.096473064921
4650,-2665.2293950139897
4700,-2712.679363259281
4750,-2663.3785701733714
4800,-2521.0381672283183
4850,-2630.6143107082758
4900,-2804.505424992375
4950,-2731.5801288468715
5000,-2489.5193347559934
5050,-2653.8979266201436
5100,-2608.9913738030086
5150,-2524.139518377882
5200,-2415.3384398071294
5250,-2531.1284980610335
5300,-2508.1501164728625
5350,-2446.7329780332943
5400,-2802.799526956214
5450,-2694.9189475806206
5500,-2419.150851925276
5550,-2646.294657193601
5600,-2515.0485147102754
5650,-2461.060638099738
5700,-2730.1372562482074
5750,-2805.501246021236
5800,-2315.560780077114
5850,-2432.276188550651
5900,-2352.063199719514
5950,-2644.5294629122127
6000,-2245.01358461919
6050,-2330.572081070479
6100,-2285.1882188354666
6150,-2580.697231885108
6200,-2353.7977227736637
6250,-2605.2617462131884
6300,-2449.2184644602357
6350,-2506.5200805193595
6400,-2348.1149911282246
6450,-2303.576209663567
6500,-2340.086763949158
6550,-2262.457050141042
6600,-2503.1033774290377
6650,-2421.502474064938
6700,-2526.557682813219
6750,-2366.1614505451034
6800,-2175.126275288225
6850,-1734.849833625256
6900,-2119.422745411849
6950,-2172.8006449733507
7000,-2393.0358004285335
7050,-2253.6509298852684
7100,-2038.8047430001725
7150,-2266.882064663075
7200,-2003.9498430840504
7250,-2306.1353267683326
7300,-2227.085549403442
7350,-2139.3185930572613
7400,-2128.1743743573484
7450,-2150.448046413091
7500,-2320.5144903528235
7550,-2481.1852808042277
7600,-2392.305559824664
7650,-2203.505420331603
7700,-1969.4523555935011
7750,-2212.0091349189283
7800,-2356.3287094550883
7850,-2216.6888065437006
7900,-2216.165625998149
7950,-2129.678081368463
8000,-2159.613191527371
8050,-2223.245201796045
8100,-2379.7509821387075
8150,-2217.046306944248
8200,-2326.656336045041
8250,-1942.4278724656685
8300,-2033.9675238361417
8350,-2299.6540111666045
8400,-2256.632470160793
8450,-2362.903300256802
8500,-1867.9495883519182
8550,-1879.8060345576039
8600,-2189.5073857828224
8650,-2217.760369035716
8700,-2264.388026501773
8750,-1966.9945764046279
8800,-1894.9518582854716
8850,-1994.6978522779568
8900,-1840.6446182176073
8950,-1795.304695167437
9000,-1947.4537785157545
9050,-2063.922118457967
9100,-2410.8372721026894
9150,-2079.7860542129365
9200,-1862.8490127382588
9250,-1779.124239082626
9300,-2349.7733655799407
9350,-2149.722110200326
9400,-1928.1936616668872
9450,-2037.1992438872537
9500,-2116.1557926485784
9550,-1998.6568604063993
9600,-1753.925923990485
9650,-2254.0041376933814
9700,-1554.6847489945658
9750,-1920.3755599302567
9800,-1626.9167148087838
9850,-1767.019908984632
9900,-1638.0981737118584
9950,-1509.8683593051644
10000,-1451.5931817747971
10050,-1459.4519137716763
10100,-1632.531341553776
10150,-1589.567208929575
10200,-1681.829385561544
10250,-2054.5474191036415
10300,-1666.9675761229282
10350,-1714.3797819211613
10400,-1337.4491197560924
10450,-1340.783730117081
10500,-1399.088069657116
10550,-1479.4388725376718
10600,-1237.1821796218396
10650,-1153.4859575941214
10700,-1242.9104138843345
10750,-1186.8728593110377
10800,-1345.1676668462828
10850,-1382.2795248725402
10900,-1524.3431773094085
10950,-1417.1222165494826
11000,-865.3285450050444
11050,-1132.8844671528018
11100,-1168.1048594306062
11150,-1437.0172656446505
11200,-1252.7677273149145
11250,-1365.371328615185
11300,-1225.0861584973622
11350,-1262.6528930927823
11400,-1124.6961430323981
11450,-1121.1694846592777
11500,-1072.1215471363937
11550,-1081.1994230525352
11600,-692.5955224053046
11650,-758.8156815770359
11700,-830.6433140396475
11750,-824.8889970099302
11800,-409.1026022989514
11850,-641.2496018126213
11900,-757.5156564888658
11950,-869.8233222909125
12000,-706.3270371012322
12050,-916.073044998426
12100,-699.3128628334698
12150,-646.9824379567356
12200,-926.7655006687974
12250,-914.5962973818331
12300,-957.2577169002134
12350,-793.5472054112203
12400,-724.5944737793401
12450,-1015.8939582448834
12500,-720.4284229258343
12550,-756.495007295867
12600,-932.3010971652203
12650,-683.8288210236074
12700,-512.0791377066435
12750,-778.2026479734778
12800,-855.8679046188333
12850,-487.1275766746096
12900,-532.7022645936295
12950,-389.32636914802634
13000,-504.9106652580944
13050,-617.7127444549682
13100,-603.7071247167515
13150,-254.83428624373303
13200,-219.4767448696778
13250,-202.03114530087075
13300,-290.9379559205283
13350,-451.8903557006192
13400,-762.511928445202
13450,-360.8851809218369
13500,-942.8337969210488
13550,-809.4911568019021
13600,-505.6943047306109
13650,-347.96525665452987
13700,-458.76203487028
13750,138.09805274456812
13800,-220.01694281195958
13850,-115.55781972653658
13900,21.26984112997243
13950,98.40381604220406
14000,-43.764949449292565
14050,-145.06934296888159
14100,73.95867427484276
14150,35.88054591294692
14200,-467.2185927852176
14250,-208.67712971102185
14300,-53.26537578499933
14350,-403.23586473536875
14400,50.3315642741981
14450,-256.46258438243217
14500,222.22717125753516
14550,108.38325151245743
14600,126.43959386929352
14650,82.53046157822762
14700,180.61386398701242
14750,-85.21857028288599
14800,49.71874132605629
14850,9.006910902971969
14900,305.6940490083396
14950,339.5178537092814
15000,132.52310377154433
15050,-139.70218946988413
15100,539.5324161217835
15150,302.66240936183505
15200,323.23566137307915
15250,412.4754510735444
15300,417.1830012011737
15350,598.0917513892442
15400,234.27863692103094
15450,457.9004504589989
15500,226.82091175687387
15550,638.9419696636954
15600,238.19809527848474
15650,721.7662574738783
15700,828.5771662033674
15750,529.9255688122885
15800,379.8800803265073
15850,497.6220403657499
15900,857.5207009433175
15950,978.3024828750467
16000,1073.1555225037816
16050,650.1721205145736
16100,628.8458397723289
16150,940.3176449975402
16200,726.8479664816342
16250,693.6050403028141
16300,771.3086909856077
16350,727.0816318505425
16400,670.5842582351403
16450,486.1583930398126
16500,991.4657377549679
16550,796.2280053885423
16600,1199.1251568720897
16650,718.4417869603807
16700,922.0865570347715
16750,508.7350612026547
16800,939.3537045728688
16850,764.3896569023341
16900,884.2951849286915
16950,972.6649641256048
17000,1243.0372592514352
17050,1124.605707815088
17100,1206.4148849780138
17150,1443.3520817162923
17200,1410.0345333745686
17250,1116.7307965525406
17300,1020.3983654875589
17350,1384.4079808631866
17400,1228.916870022427
17450,1362.5586940723858
17500,1531.5119537137111
17550,1102.248436673642
17600,1482.4755266587104
17650,1408.5201261688715
17700,1494.919160653071
17750,1389.5288067615106
17800,1404.257714191351
17850,1577.3097129948244
17900,1567.6538381684961
17950,1317.138453156423
18000,1521.9785488715395
18050,1732.4412184608527
18100,1720.2278645906526
18150,1354.5241163091812
18200,1393.039219885575
18250,1551.5506567926698
18300,1294.742527201515
18350,1114.0034943139142
18400,1307.2080363473035
18450,1589.0758691849132
18500,1462.9053288609127
18550,1397.7857244882975
18600,1525.4581929251392
18650,1394.0765192076674
18700,1673.1094081087583
18750,1580.9198432479498
18800,1473.9488014831356
18850,1553.3720776144025
18900,1273.9886536126646
18950,1509.4502266642164
19000,1730.552388695267
19050,1640.334741479194
19100,1452.8674492094544
19150,1581.0376614217807
19200,1475.5165310663963
19250,1562.6247433425908
19300,1591.8600380337814
19350,1641.0325129688345
19400,1576.8988754047245
19450,1612.9144858263123
19500,1826.4650448844604
19550,1607.4187537556422
19600,1640.710094055522
19650,1720.3264876494295
19700,1695.6282461451833
19750,1614.8056918677808
19800,1469.6565074375226
19850,1516.0879012499597
19900,1444.78710998126
19950,1512.5671441979573
20000,1619.1933834984409
20050,1519.8042239842432
20100,1708.6156949151637
20150,1859.5134082664897
20200,1588.3730628442436
20250,1712.5656138721736
20300,1435.8866143439118
20350,1647.469392019403
20400,1450.0254092728178
20450,1665.231354402187
20500,1567.8093660437544
20550,1756.5164726403348
20600,1667.10709411057
20650,1749.5136668200485
20700,1761.828116412259
20750,1707.9046786464664
20800,1836.7218889358055
20850,1839.4682413935216
20900,1739.7702398046686
20950,1813.1251479468579
21000,1721.3564347315018
21050,1793.9625577375457
21100,1724.0502000213264
21150,1771.6074225178281
21200,1652.93445374686
21250,1746.1717883997267
21300,1815.6437802945984
21350,1720.0857264692845
21400,1798.000298274299
21450,1804.8554549086437
21500,1827.5486971986797
21550,1966.067192814171
21600,1839.9089148811033
21650,1965.1292743882807
21700,1829.8317288342168
21750,1797.8408723047094
21800,1822.015001466659
21850,1837.2182697679311
21900,1918.0861261338728
21950,1841.2070450997667
22000,1670.8970424690629
22050,1934.1977127107953
22100,1900.5084564723022
22150,1913.4272667413984
22200,1691.0859569905297
22250,1821.2312539589323
22300,1935.0039702788852
22350,1612.2564446096474
